Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,1,1,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,1,1,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,2,2,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,2,2,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,3,3,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,3,3,20:00,3:36,16:24
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,18,3,3:34,0:00,3:34
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,17,2,5:22,3:12,2:10
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,22,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,21,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,20,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,20,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,24,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,24,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,25,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,14,2,7:19,5:29,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,14,2,5:22,3:32,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,13,2,5:22,3:32,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,19,3,3:50,2:03,1:47
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,7,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,7,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,6,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,23,3,2:26,0:40,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,16,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,14,8,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,10,11,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,11,2,5:22,3:43,1:39
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,21,3,11:39,10:02,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,19,3,11:39,10:02,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,15,3,10:15,8:38,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,16,2,3:41,2:07,1:34
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,10,2,4:22,2:49,1:33
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,9,2,1:32,0:00,1:32
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,13,2,6:58,5:27,1:31
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,1,1,20:00,18:30,1:30
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,14,2,8:09,6:39,1:30
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,24,3,3:59,2:30,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,19,3,17:34,16:05,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,17,3,17:34,16:05,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,7,2,15:05,13:37,1:28
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,1,1,20:00,18:33,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,25,3,1:27,0:00,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,17,3,10:19,8:52,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,15,3,10:19,8:52,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,6,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,1,1,20:00,18:35,1:25
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,12,3,11:39,10:15,1:24
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,11,2,5:40,4:16,1:24
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,15,2,8:09,6:46,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,11,2,2:55,1:32,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,22,3,15:06,13:43,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,1,1,20:00,18:38,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,13,2,15:05,13:43,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,13,2,15:05,13:43,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,10,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,9,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,8,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,10,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,13,2,8:32,7:11,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,2,1,15:58,14:37,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,28,15,3,11:39,10:19,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,15,3,11:39,10:19,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,26,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,26,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,22,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,24,3,3:34,2:14,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,11,2,11:53,10:33,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,4,1,5:57,4:38,1:19
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,10,2,14:46,13:27,1:19
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,3,1,8:54,7:36,1:18
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,18,3,9:30,8:13,1:17
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,21,3,9:30,8:13,1:17
